EG	Gene	Syn	Protein	Function	Description	SP	b#	
EG10139	cdsA	None	CDP-diglyceride synthase	Enzyme; Fatty acid and phosphatidic acid biosynthesis	CDP-diglyceride synthase, integral membrane protein with eight transmembrane helices; also known as phosphatidate cytidylyltransferase	P0ABG1	b0175
EG10140	chbB	celA	N,N'-diacetylchitobiose-specific enzyme IIB component of PTS	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	N,N'-diacetylchitobiose utilization, enzyme IIB(Chb) of the PTS transport system	P69795	b1738
EG10141	chbC	celB	N,N'-diacetylchitobiose-specific enzyme IIC component of PTS	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	PTS Enzyme IIC(Chb) for N,N'-diacetylchitobiose utilization	P17334	b1737
EG10142	chbA	celC	N,N'-diacetylchitobiose-specific enzyme IIA component of PTS	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	PTS Enzyme IIA(Chb), N,N'-diacetylchitobiose utilization; trimeric	P69791	b1736
EG10143	chbR	celD	repressor of chb operon for N,N'-diacetylchitobiose utilization	Regulator; Degradation of small molecules: Carbon compounds	Repressor for chb operon, N,N'-diacetylchitobiose utilization	P17410	b1735
EG10144	chbF	celF, ydjD	phospho-chitobiase; general 6-phospho-beta-glucosidase activity	Enzyme; Degradation of small molecules: N,N'-diacetylchitobiose	N,N'-diacetylchitobiose utilization, phospho-chitobiase; can hydrolyze a variety of phospho-beta-glucosides	P17411	b1734
EG10145	creD	cet, refII	inner membrane protein	Putative membrane; Colicin-related functions	Inner membrane protein, function unknown	P08369	b4400
EG10146	cheA	None	fused chemotactic sensory histidine kinase in two-component regulatory system with CheB and CheY: sensory histidine kinase/signal sensing protein	Enzyme; Chemotaxis and mobility	Histidine protein kinase sensor of chemotactic response; CheY is cognate response regulator; autophosphorylating	P07363	b1888
EG10147	cheB	None	fused chemotaxis regulator: protein-glutamate methylesterase in two-component regulatory system with CheA	Enzyme; Chemotaxis and mobility	Chemotaxis MCP protein-glutamate methylesterase; reverses CheR methylation at specific MCP glutamates	P07330	b1883
EG10148	cheR	cheX	chemotaxis regulator, protein-glutamate methyltransferase	Enzyme; Chemotaxis and mobility	Chemotaxis MCP protein methyltransferase, SAM-dependent; binds C-terminus of chemoreceptors; makes glutamate methyl esters	P07364	b1884
EG10149	cheW	None	purine-binding chemotaxis protein	Regulator; Chemotaxis and mobility	Chemotaxis signal transducer; bridges CheA to chemoreceptors to regulate phophotransfer to CheY and CheB	P0A964	b1887
EG10150	cheY	None	chemotaxis regulator transmitting signal to flagellar motor component	Regulator; Chemotaxis and mobility	Response regulator for chemotactic signal transduction; single-domain response regulator lacking an output domain; CheA is the cognate sensor protein; autoacetylase	P0AE67	b1882
EG10151	cheZ	None	chemotaxis regulator, protein phosphatase for CheY	Regulator; Chemotaxis and mobility	CheY-P phosphatase	P0A9H9	b1881
EG10152	modC	chlD, narD	molybdate ABC transporter ATPase; chlorate resistance protein	Transport; Transport of small molecules: Anions	Molybdate ABC transporter ATPase; chlorate resistance	P09833	b0765
EG10153	moeA	bisB, chlE, narE	molybdopterin molybdenumtransferase; molybdopterin biosynthesis protein	Enzyme; Biosynthesis of cofactors, carriers: Molybdopterin	Molybdopterin molybdenumtransferase; molybdopterin (MPT) synthesis; incorporation of molybdenum into MPT; chlorate resistance	P12281	b0827
EG10154	moeB	chlN	molybdopterin synthase sulfurylase	Enzyme; Biosynthesis of cofactors, carriers: Molybdopterin	Molybdopterin-synthase sulfurylase; adenylation of MoaD C-terminus; chlorate resistance; zinc-containing enyzyme	P12282	b0826
EG10155	cirA	cir, feuA	colicin IA outer membrane receptor and translocator; ferric iron-catecholate transporter	Membrane; Outer membrane constituents	Colicin IA outer membrane receptor and translocator; ferric iron-catecholate transporter	P17315	b2155
EG10156	clpA	lopD	ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity	Enzyme; Degradation of proteins, peptides, glyco	ATPase subunit of ClpAP ATP-dependent protease; protease Ti; molecular chaperone	P0ABH9	b0882
EG10157	clpB	htpM	protein disaggregation chaperone	Putative enzyme; Degradation of proteins, peptides, glyco	Bichaperone with DnaK for protein disaggregation; disaggregase; protein-dependent ATPase; role in de novo protein folding under mild stress conditions	P63284	b2592
EG10158	clpP	lopP, wseA	proteolytic subunit of ClpA-ClpP and ClpX-ClpP ATP-dependent serine proteases	Enzyme; Degradation of proteins, peptides, glyco	Proteolytic subunit of ClpXP and ClpAP ATP-dependent proteases; protease Ti	P0A6G7	b0437
EG10159	clpX	lopC	ATPase and specificity subunit of ClpX-ClpP ATP-dependent serine protease	Enzyme; Degradation of proteins, peptides, glyco	ATPase subunit of ClpXP protease; ClpXP degrades ssrA-tagged proteins; molecular chaperone	P0A6H1	b0438
EG10160	cpdB	None	2':3'-cyclic-nucleotide 2'-phosphodiesterase	Enzyme; Salvage of nucleosides and nucleotides	2',3'-cyclic nucleotide 2'-phosphodiesterase, periplasmic	P08331	b4213
EG10161	cpsB	manC, mni, rfbM	mannose-1-phosphate guanyltransferase	Enzyme; Central intermediary metabolism: Sugar-nucleotide biosynthesis, conversions	Mannose 1-P guanyltransferase synthesis; extracellular capsule polysaccharide ccolanic acid biosynthesis	P24174	b2049
EG10162	cpsG	manB, rfbK	phosphomannomutase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Phosphomannomutase isozyme; colanic acid biosynthesis synthesis	P24175	b2048
EG10163	cpxA	ecfB, eup, rssE, ssd	sensory histidine kinase in two-component regulatory system with CpxR	Putative regulator; Global regulatory functions	Histidine protein kinase, periplasmic stress sensor; inner membrane protein; CpxR is the two-component cognate response regulator; Kan-R, phage Q resistant; L-serine growth	P0AE82	b3911
EG10164	crp	cap, csm	cAMP-activated global transcription factor, mediator of catabolite repression	Regulator; Global regulatory functions	cAMP-activated global transcription factor; mediator of catabolite repression; CRP; CAP	P0ACJ8	b3357
EG10165	crr	gsr, iex, tgs, treD	glucose-specific enzyme IIA component of PTS	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	EIIA(Glc), phosphocarrier for glucose PTS transport; negative control of rpoS	P69783	b2417
EG10166	cspA	None	RNA chaperone and antiterminator, cold-inducible 	Regulator; Adaptations, atypical conditions	Cold-inducible RNA chaperone and antiterminator; aids gene expression at low temperature; cold shock protein CS7.4; binds ssRNA and ssDNA	P0A9X9	b3556
EG10167	cstA	dppG?, ybdC	carbon starvation protein involved in peptide utilization; APC peptide transporter family protein	Putative transport; Not classified	Predicted APC superfamily peptide transporter; carbon starvation protein involved in peptide utilization	P15078	b0598
EG10168	lnt	cutE	apolipoprotein N-acyltransferase	Enzyme; Transport of small molecules: Cations	Apolipoprotein N-acyltransferase; copper sensitivity	P23930	b0657
EG10169	cvpA	dedE	colicin V production protein	Membrane; Colicin-related functions	Colicin V production protein	P08550	b2313
EG10170	cyaA	cya	adenylate cyclase	Enzyme; Global regulatory functions	Adenylate cyclase	P00936	b3806
EG10172	cybB	None	cytochrome b561	Enzyme; Energy metabolism, carbon: Electron transport	Cytochrome b561	P0ABE5	b1418
EG10173	cydA	None	cytochrome d terminal oxidase, subunit I	Enzyme; Energy metabolism, carbon: Electron transport	Cytochrome d (bd-I) ubiquinol oxidase subunit 1; upregulated in biofilms and microaerobic conditions; aerobically repressed by H-NS; anaerobically repressed by FNR	P0ABJ9	b0733
EG10174	cydB	None	cytochrome d terminal oxidase, subunit II	Enzyme; Energy metabolism, carbon: Electron transport	Cytochrome d (bd-I) ubiquinol oxidase subunit 2; upregulated in biofilms and microaerobic conditions; aerobically repressed by H-NS; anaerobically repressed by FNR	P0ABK2	b0734
EG10175	cynS	cnt	cyanate aminohydrolase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Cyanate aminohydrolase	P00816	b0340
EG10176	cynT	None	carbonic anhydrase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Carbonic anhydrase, beta class	P0ABE9	b0339
EG10177	cynX	None	putative cyanate transporter	Transport; Transport of small molecules: Anions	Putative transporter, function unknown, cyn operon	P17583	b0341
EG10178	cyoA	None	cytochrome o ubiquinol oxidase subunit II	Enzyme; Energy metabolism, carbon: Aerobic respiration	Cytochrome o oxidase subunit II, lipoprotein; also called cytochrome bo(3) ubiquinol oxidase subunit II	P0ABJ1	b0432
EG10179	cyoB	None	cytochrome o ubiquinol oxidase subunit I	Enzyme; Energy metabolism, carbon: Aerobic respiration	Cytochrome o oxidase subunit I, quinone-binding domain; cytochrome bo(3) ubiquinol oxidase subunit I	P0ABI8	b0431
EG10180	cyoC	None	cytochrome o ubiquinol oxidase subunit III	Enzyme; Energy metabolism, carbon: Aerobic respiration	Cytochrome o oxidase subunit III; cytochrome bo(3) ubiquinol oxidase subunit III	P0ABJ3	b0430
EG10181	cyoD	None	cytochrome o ubiquinol oxidase subunit IV	Enzyme; Energy metabolism, carbon: Aerobic respiration	Cytochrome o oxidase subunit IV; cytochrome bo(3) ubiquinol oxidase subunit IV	P0ABJ6	b0429
EG10182	cyoE	None	protoheme IX farnesyltransferase	Enzyme; Energy metabolism, carbon: Aerobic respiration	Cytochrome o oxidase protoheme IX farnesyltransferase subunit	P0AEA5	b0428
EG10183	cysA	None	sulfate/thiosulfate transporter subunit	Transport; Transport of small molecules: Anions	Sulfate/thiosulfate ABC transporter ATPase subunit	P16676	b2422
EG10184	cysB	None	N-acetylserine-responsive cysteine regulon transcriptional activator; autorepressor	Transport; Amino acid biosynthesis: Cysteine	Transcriptional activator for the Cys regulon; N-acetylserine induced; autorepressor	P0A9F3	b1275
EG10185	cysC	None	adenosine 5'-phosphosulfate kinase	Enzyme; Central intermediary metabolism: Sulfur metabolism	Adenylylsulfate kinase, APS kinase	P0A6J1	b2750
EG10186	cysD	None	sulfate adenylyltransferase, subunit 2	Enzyme; Central intermediary metabolism: Sulfur metabolism	Sulfate adenylyltransferase subunit 2	P21156	b2752
EG10187	cysE	None	serine acetyltransferase	Enzyme; Amino acid biosynthesis: Cysteine	Serine acetyltransferase (SAT); first step in cysteine synthesis; feedback inhibited by cysteine; hexameric	P0A9D4	b3607
EG10188	cysG	None	fused siroheme synthase 1,3-dimethyluroporphyriongen III dehydrogenase and siroheme ferrochelatase/uroporphyrinogen methyltransferase	Enzyme; Biosynthesis of cofactors, carriers: Heme, porphyrin	Siroheme synthase, multifunctional enzyme; has three activities: uroporphyrinogen III methyltransferase, SAM-dependent; precorrin-2 dehydrogenase; sirohydrochlorin ferrochelatase	P0AEA8	b3368
EG10189	cysH	None	phosphoadenosine phosphosulfate reductase; PAPS reductase, thioredoxin dependent	Enzyme; Central intermediary metabolism: Sulfur metabolism	Phosphoadenosine phosphosulfate reductase; PAPS reductase, thioredoxin dependent	P17854	b2762
EG10190	cysI	None	sulfite reductase, beta subunit, NAD(P)-binding, heme-binding	Enzyme; Central intermediary metabolism: Sulfur metabolism	Sulfite reductase [NADPH] hemoprotein beta-component; has 4Fe-4S iron-sulfur center	P17846	b2763
EG10191	cysJ	None	sulfite reductase, alpha subunit, flavoprotein	Enzyme; Central intermediary metabolism: Sulfur metabolism	Sulfite reductase [NADPH] flavoprotein alpha-component; binds FMN and FAD	P38038	b2764
EG10192	cysK	cysZ	cysteine synthase A, O-acetylserine sulfhydrolase A subunit	Enzyme; Amino acid biosynthesis: Cysteine	Cysteine synthase A, O-acetylserine sulfhydrylase A; homodimeric; selenate, azaserine, chromate resistance; alkali-inducible, sulfate starvation-inducible protein SSI5; cysteine desulfhydrase	P0ABK5	b2414
EG10193	cysM	None	cysteine synthase B (O-acetylserine sulfhydrolase B)	Enzyme; Amino acid biosynthesis: Cysteine	Cysteine synthase B, O-acetylserine sulfhydrylase B	P16703	b2421
EG10194	cysN	None	sulfate adenylyltransferase, subunit 1	Enzyme; Central intermediary metabolism: Sulfur metabolism	Sulfate adenylyltransferase subunit 1; putative ATP sulfurylase GTPase subunit	P23845	b2751
EG10195	cysP	None	thiosulfate-binding protein	Transport; Transport of small molecules: Anions	Thiosulfate-binding protein, periplasmic	P16700	b2425
EG10196	cysS	None	cysteinyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Cysteine--tRNA ligase; binds Zn(II)	P21888	b0526
EG10197	cysU	cysT	sulfate/thiosulfate ABC transporter permease	Transport; Transport of small molecules: Anions	Sulfate/thiosulfate ABC transporter permease	P16701	b2424
EG10198	cysW	None	sulfate/thiosulfate ABC transporter permease	Transport; Transport of small molecules: Anions	Sulfate/thiosulfate ABC transporter permease	P0AEB0	b2423
EG10200	cytR	None	Anti-activator for CytR-CRP nucleoside utilization regulon	Regulator; Global regulatory functions	Anti-activator for nucleoside utilization regulon	P0ACN7	b3934
EG10201	dacA	pfv	D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5)	Enzyme; Murein sacculus, peptidoglycan	D-alanine D-alanine carboxypeptidase PBP5, cell morphology; penicillin-binding protein 5; beta-lactamase activity	P0AEB2	b0632
EG10202	dacB	None	D-alanyl-D-alanine carboxypeptidase	Enzyme; Murein sacculus, peptidoglycan	D-alanine D-alanine carboxypeptidase PBP4; penicillin-binding protein 4	P24228	b3182
EG10203	dacC	None	D-alanyl-D-alanine carboxypeptidase; penicillin-binding protein 6a	Enzyme; Murein sacculus, peptidoglycan	D-alanine D-alanine carboxypeptidase PBP6; penicillin-binding protein 6	P08506	b0839
EG10204	dam	None	DNA adenine methyltransferase	Enzyme; DNA - replication, repair, restriction/modification	DNA-(adenine-N6)-methyltransferase, methylates GATC; role in repair and replication	P0AEE8	b3387
EG10205	dapA	None	dihydrodipicolinate synthase	Enzyme; Amino acid biosynthesis: Lysine	Dihydrodipicolinate synthase	P0A6L2	b2478
EG10206	dapB	None	dihydrodipicolinate reductase	Enzyme; Amino acid biosynthesis: Lysine	Dihydrodipicolinate reductase	P04036	b0031
EG10207	dapD	ssa	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase	Enzyme; Amino acid biosynthesis: Lysine	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase; mutations suppress growth defects of strains lacking superoxide dismutase	P0A9D8	b0166
EG10208	dapE	msgB	N-succinyl-diaminopimelate deacylase	Enzyme; Amino acid biosynthesis: Lysine	N-succinyl-diaminopimelate desuccinylase, DAP/lysine biosynthesis, contains Zn(2+)/Co(2+)	P0AED7	b2472
EG10209	dapF	None	diaminopimelate epimerase	Enzyme; Amino acid biosynthesis: Lysine	Diaminopimelate epimerase	P0A6K1	b3809
EG10210	dbpA	rhlC	ATP-dependent RNA helicase, specific for 23S rRNA	Enzyme; RNA synthesis, modification, DNA transcription	ATP-dependent 3'-5' RNA helicase, specific for 23S rRNA	P21693	b1343
EG10211	dcm	mec	DNA cytosine methyltransferase	Enzyme; DNA - replication, repair, restriction/modification	DNA cytosine methyltransferase; internal cytosine methylated	P0AED9	b1961
EG10212	dcp	None	dipeptidyl carboxypeptidase II	Enzyme; Degradation of proteins, peptides, glyco	Dipeptidyl carboxypeptidase II	P24171	b1538
EG10213	ddlA	None	D-alanine-D-alanine ligase A	Enzyme; Murein sacculus, peptidoglycan	D-alanine:D-alanine ligase A, ADP-forming	P0A6J8	b0381
EG10214	ddlB	ddl	D-alanine:D-alanine ligase	Enzyme; Murein sacculus, peptidoglycan	D-alanine:D-alanine ligase B, ADP-forming	P07862	b0092
EG10215	deaD	csdA, mssB, rhlD	ATP-dependent RNA helicase	Enzyme; RNA synthesis, modification, DNA transcription	ATP-dependent RNA helicase, 50S ribosomal subunit biogenesis; translation factor W2; factor X; facilitates translation of mRNAs with 5' secondary structures; multicopy suppressor of rpsB(Ts) mutations	P0A9P6	b3162
EG10216	dedA	None	DedA family inner membrane protein	Null	DedA family inner membrane protein, function unknown	P0ABP6	b2317
EG10217	accD	dedB, usg	acetyl-CoA carboxylase, beta (carboxyltransferase) subunit	Enzyme; Fatty acid and phosphatidic acid biosynthesis	Acetyl-CoA carboxylase, carboxyltransferase beta subunit	P0A9Q5	b2316
EG10218	dedD	None	membrane-anchored periplasmic protein involved in septation	Putative membrane; Not classified	Membrane-anchored periplasmic protein involved in septation	P09549	b2314
